id,birth_month,birth_year,education_dad,education_mom,drug_use_score,flag_female,flag_black,flag_hispanic,flag_divorce,school_quality,year,CV_CENSUS_REGION,education,hours_worked_since02,wage,log_wage,fte_experience,flag_working,flag_married,num_children,fte_experience_sq,age
5644,1,1980,12,16,0,1,0,0,0,3,2010,1,17,15717,24.04,3.179719109667007,7.8585,1,0,0,61.75602225,30
5644,1,1980,12,16,0,1,0,0,0,3,2011,1,18,17536,27.81,3.3253956682458736,8.768,1,0,0,76.87782400000002,31
5644,1,1980,12,16,0,1,0,0,0,3,2013,1,18,21136,25.72,3.2472688993694185,10.568,1,1,1,111.68262399999999,33
5644,1,1980,12,16,0,1,0,0,0,3,2015,1,18,23286,25,3.2188758248682006,11.643,1,1,2,135.55944900000003,35
5644,1,1980,12,16,0,1,0,0,0,3,2017,1,18,26436,26.25,3.2676659890376327,13.218,1,1,2,174.715524,37
5644,1,1980,12,16,0,1,0,0,0,3,2019,1,18,29556,27,3.295836866004329,14.778,1,1,0,218.389284,39
5644,1,1980,12,16,0,1,0,0,0,3,2021,1,18,32256,30.11,3.4048573424936426,16.128,1,1,0,260.112384,41
5645,5,1983,12,12,1,1,0,0,0,-2,2010,3,11,18854,10.5,2.3513752571634776,9.427,1,0,3,88.86832899999999,27
5645,5,1983,12,12,1,1,0,0,0,-2,2011,3,11,20974,10.5,2.3513752571634776,10.487,1,0,3,109.977169,28
5645,5,1983,12,12,1,1,0,0,0,-2,2013,3,11,25069,11.25,2.4203681286504293,12.5345,1,0,3,157.11369025,30
5645,5,1983,12,12,1,1,0,0,0,-2,2015,3,14,27968,13,2.5649493574615367,13.984,1,0,3,195.552256,32
5645,5,1983,12,12,1,1,0,0,0,-2,2017,3,15,32848,19.87,2.9892110565637253,16.424,1,0,3,269.747776,34
5645,5,1983,12,12,1,1,0,0,0,-2,2019,3,15,36953,18.72,2.929592471049446,18.4765,1,0,0,341.38105225000004,36
5645,5,1983,12,12,1,1,0,0,0,-2,2021,3,15,40167,18.98,2.9433857931817817,20.0835,1,0,0,403.34697225,38
5646,4,1983,12,14,0,1,0,0,1,3,2010,3,19,9707,13.46,2.599722324216582,4.8535,1,1,1,23.556462250000003,27
